Basic_Setting;"Definições Básicas do Paymill"
error_text_invalid_token;"Ocorreu o seguinte erro:"
error_text_no_entry_selected;"Seleccione uma entrada"
feedback_customer_sepa;"Days until the debit"
feedback_capture_failure;"Captura falhada"
feedback_capture_success;"Captura bem sucedida"
feedback_config_error_differentamount;"O valor de tolerância do token tem de ser um número válido"
feedback_config_error_privatekey;"Por favor introduza uma chave privada válida"
feedback_config_error_publickey;"Por favor introduza uma chave pública válida"
feedback_config_permission;"Não tem permissão para alterar as definições"
feedback_config_saved;"As suas alterações foram guardadas com sucesso"
feedback_deleteLogEntry_failure;"Eliminação falhada"
feedback_deleteLogEntry_success;"Entradas eliminadas com sucesso"
feedback_deleteLog_failure;"O registo não pode ser esvaziado"
feedback_deleteLog_success;"Registo eliminado com sucesso"
feedback_error_creditcard_cvc;"CVC inválido"
feedback_error_creditcard_holder;"Por favor, introduza o nome do titular do cartão."
feedback_error_creditcard_number;"Por favor, introduza um número de cartão de crédito válido."
feedback_error_creditcard_parent;"Por favor, introduza os dados do seu cartão de crédito. Devido a razões de privacidade, NÃO iremos armazenar os seus dados nos nossos servidores."
feedback_error_creditcard_valid;"Data de validade inválida"
feedback_error_directdebit_bankcode;"Por favor, introduza um código bancário de débito direto válido."
feedback_error_directdebit_holder;"Por favor, introduza o nome do titular da conta de débito direto"
feedback_error_directdebit_number;"Por favor, introduza um número de conta de débito direto válido"
feedback_error_directdebit_parent;"Por favor, introduza os seus dados de débito direto bancário. Devido a razões de privacidade, NÃO iremos armazenar os seus dados nos nossos servidores."
feedback_error_general_unknown;"Ocorreu um erro durante o processamento do seu pagamento."
feedback_error_general_unknown_payment;"O método de pagamento não pode ser identificado. Por favor, contacte o apoio ao cliente."
feedback_error_sepa_bic;"Por favor insira um BIC válido"
feedback_error_sepa_iban;"Por favor insira um IBAN válido"
feedback_general_affirmation;"Tem a certeza?"
feedback_info_creditcard_slogan;"Pagamentos com cartão de crédito seguros fornecidos por"
feedback_info_directdebit_slogan;"Débito direto fornecido por"
feedback_info_general_required;"Os campos marcados com * são obrigatórios."
feedback_month_april;Abril
feedback_month_august;Agosto
feedback_month_december;Dezembro
feedback_month_february;Fevereiro
feedback_month_january;Janeiro
feedback_month_july;Julho
feedback_month_june;June
feedback_month_march;Março
feedback_month_may;Maio
feedback_month_november;Novembro
feedback_month_october;Outubro
feedback_month_september;Setembro
feedback_refund_failure;"Reembolso falhado"
feedback_refund_success;"Reembolso bem sucedido"
feedback_search_failure;"Pesquisa falhada"
feedback_search_success;"Pesquisa bem sucedida"
frontend_cart_empty;"O seu carrinho de compras está vazio"
frontend_creditcard;"Cartão de crédito"
frontend_creditcard_button_cancel;Cancelar
frontend_creditcard_label_cvc;CVC
frontend_creditcard_label_holder;"Titular do cartão"
frontend_creditcard_label_number;"Número do cartão"
frontend_creditcard_label_valid;"Válido até"
frontend_creditcard_tooltip_cvc;"O código CVV ou CVC é uma funcionalidade de segurança dos cartões de crédito. Normalmente é um número com três ou quatro dígitos. Nos cartões de crédito VISA, é chamado de código CVV. O mesmo código pode ser encontrado nos cartões de crédito MasterCard - onde no entanto é chamado de CVC. CVC é uma abreviatura para 'Código de Validação do Cartão'. O código CVV, por outro lado, é uma abreviatura para 'Código para Valor de Validação do Cartão'. De forma semelhante à MasterCard e à Visa, outras marcas tais como o Diners Club, Discover e JCB contêm um número de três dígitos que normalmente pode ser encontrado na parte de trás do cartão de crédito. Existem cartões MAESTRO com e sem um CVV de três dígitos. No caso de ser utilizado um cartão MAESTRO sem CVV, é possível introduzir 000 no formulário. A American Express utiliza o CID (número de identificação do cartão). O CID é um número de quatro dígitos que pode ser encontrado na parte da frente do cartão, no topo à direita do número do cartão de crédito."
frontend_directdebit;"Débito direto"
frontend_directdebit_label_bankcode;"Código do banco"
frontend_directdebit_label_bic;BIC
frontend_directdebit_label_holder;"Titular da conta"
frontend_directdebit_label_iban;IBAN
frontend_directdebit_label_number;"Número da conta"
frontend_order_now;Encomendar
frontend_redirect_order_overview;"Ver Encomenda"
frontend_redirect_paymentselection;"Seleccionar Pagamento"
frontend_thank_you;"Obrigado por efectuar a sua encomenda"
hooks_headline;"Hooks do PAYMILL"
log_action_success;"Acção bem sucedida"
log_connectedSearch_button;"Pesquisa relacionada"
log_connectedSearch_description;"A pesquisa relacionada lista todas os resultados de pesquisa assim como as entradas de registo das consultas de pesquisa."
log_date_title;"Data de entrada"
log_deleteEntry_button;"Eliminar entrada"
log_deleteLog_button;"Esvaziar o registo"
log_detail_title;Detalhes
log_devInfo_title;"Informar o programador"
log_id_title;Identificação
log_merchantInfo_title;"Informação do comerciante"
log_processId_title;"Identificação do processo"
log_search_button;Pesquisa
log_search_details;"Ver Detalhes"
log_title;"Registo PAYMILL"
log_version_title;"Versão do módulo"
module_title;"Pagamentos por cartão de crédito e débito direto PAYMILL"
operations_title;"Opções de transações PAYMILL"
refund_description;"As transações bem sucedidas podem ser reembolsadas aqui"
refund_label;Reembolso
send_invoice_mail;"Enviar factura por correio"
text_date;Data
text_debug;Depurar
text_message;Mensagem
token_error;"Ocorreu um erro ao criar o token"
PAYMILL_40000;"General problem with data."
PAYMILL_40001;"General problem with payment data."
PAYMILL_40100;"Problem with credit card data."
PAYMILL_40101;"Problem with cvv."
PAYMILL_40102;"Card expired or not yet valid."
PAYMILL_40103;"Limit exceeded."
PAYMILL_40104;"Card invalid."
PAYMILL_40105;"Expiry date not valid."
PAYMILL_40106;"Credit card brand required."
PAYMILL_40200;"Problem with bank account data."
PAYMILL_40201;"Bank account data combination mismatch."
PAYMILL_40202;"User authentication failed."
PAYMILL_40300;"Problem with 3d secure data."
PAYMILL_40301;"Currency / amount mismatch"
PAYMILL_40400;"Problem with input data."
PAYMILL_40401;"Amount too low or zero."
PAYMILL_40402;"Usage field too long."
PAYMILL_40403;"Currency not allowed."
PAYMILL_50000;"General problem with backend."
PAYMILL_50001;"Country blacklisted."
PAYMILL_50002;"IP blacklisted."
PAYMILL_50100;"Technical error with credit card."
PAYMILL_50101;"Error limit exceeded."
PAYMILL_50102;"Card declined by authorization system."
PAYMILL_50103;"Manipulation or stolen card."
PAYMILL_50104;"Card restricted"
PAYMILL_50105;"Invalid card configuration data."
PAYMILL_50200;"Technical error with bank account."
PAYMILL_50201;"Card blacklisted."
PAYMILL_50300;"Technical error with 3D secure."
PAYMILL_50400;"Decline because of risk issues."
PAYMILL_50500;"General timeout."
PAYMILL_50501;"Timeout on side of the acquirer."
PAYMILL_50502;"Risk management transaction timeout"
PAYMILL_50600;"Duplicate transaction."
PAYMILL_10001;"General undefined response."
PAYMILL_10002;"Still waiting on something."
PAYMILL_20000;"General success response."
internal_server_error;"The communication with the psp failed."
invalid_public_key;"The public key is invalid."
invalid_payment_data;"Paymentmethod, card type currency or country not authorized"
unknown_error;"Unknown Error"
3ds_cancelled;"3-D Secure process has been canceled by the user"
field_invalid_card_number;"Invalid Credit Card Number"
field_invalid_card_exp_year;"Invalid Expiry Year"
field_invalid_card_exp_month;"Invalid Expiry Month"
field_invalid_card_exp;"Credit Card not valid"
field_invalid_card_cvc;"Invalid CVC"
field_invalid_card_holder;"Invalid Card Holder"
field_invalid_amount_int;"Missing amount for 3-D Secure"
field_invalid_amount;"Missing amount for 3-D Secure"
field_invalid_currency;"Invalid currency for 3-D Secure"
field_invalid_account_number;"Invalid Account Number"
field_invalid_account_holder;"Invalid Account Holder"
field_invalid_bank_code;"Invalid bank code"
field_invalid_iban;"Invalid IBAN"
field_invalid_bic;"Invalid BIC"
field_invalid_country;"Invalid country for sepa transactions"
field_invalid_bank_data;"Invalid bank data"
